,no,nf,time,bns,prc,prc_o,ap,qty,type,profit,prf_opt,mode
0,,,,,,,,,,,,
1,1,211,11-07,s,363.2,361.04,363.25,1,tr 0,0,0,0
2,2,601,11-15,s,363.55,361.38,363.25,1,cover_b_triple,0,0,0
3,3,830,11-20,s,363.25,361.08,363.25,1,b-d-out_gray_strong,0,-0.3,0
4,4,979,11-24,s,363.5,361.3,363.25,1,cover_b_bns_check0 : 0.96,0,-0.3,0
5,5,1312,11-32,s,363.2,361.02,363.25,1,b-d-out_gray_strong,0,-0.65,0
6,6,2220,11-48,s,362.55,360.4,363.25,1,cover_b_bns_check0 : 1,0,-0.65,0
7,7,2626,11-57,s,362.2,360.04,363.25,1,b-d-out_gray_strong,0,-1.0,0
8,8,2806,12-01,s,362.5,360.34,363.25,1,cover_b_bns_check0 : 1,0,-1.0,0
9,9,3203,12-10,s,362.6,360.46,363.25,1,b-d-out_gray,0,-0.95,0
10,10,3646,12-25,s,362.5,360.34,363.25,1,cover_b_bns_check0 : 1,0,-0.95,0
11,11,4125,12-40,s,362.05,359.92,363.25,1,b-d-out_gray_strong,0,-1.45,0
12,12,4274,12-43,s,362.25,360.1,363.25,1,cover_b_bns_check0 : 0.96,0,-1.45,0
13,13,5217,13-10,s,362.45,360.32,363.25,1,b-d-out_gray,0,-1.25,0
14,14,5807,13-27,s,362.05,359.92,363.25,1,cover_b_bns_check0 : 0.96,0,-1.25,0
15,15,6514,13-47,s,361.7,359.58,363.25,1,b-d-out_gray_strong,0,-1.65,0
16,16,6977,13-58,s,361.65,359.5,363.25,1,cover_b_triple,0,-1.65,0
17,17,8009,14-25,s,361.5,359.38,363.25,1,b-d-out_gray,0,-1.75,0
18,18,8962,14-46,s,361.3,359.2,363.25,1,cover_b_triple,0,-1.75,0
19,19,9281,14-52,s,361.6,359.44,363.25,1,b-d-out-test_sig,0,-1.5,0
20,20,9306,14-52,s,361.6,359.5,363.25,1,cover_b_triple,0,-1.5,0
21,21,9332,14-53,s,361.55,359.42,363.25,1,b-d-out-prc_out_g3,0,-1.55,0
22,22,9800,15-03,s,361.75,359.62,363.25,1,cover_b_bns_check0 : 0.96,0,-1.55,0
