,count_m,cvol_s_p,cvol_s_m,cvol_t_p,cvol_t_m,cvol_m,dxy_200_p,dxy_200_m,prc_std,prc_std_1000,std_std_prc
0,4.377516273,2.463131806,2.303367791,151.50845959999995,-168.207865,0.05,22.94951108,-19.93248215,0.175,0.225,0.247
1,3.791423295,1.813746369,1.855754738,108.4412695,-134.90621169999997,0.05,13.84027166,-16.30708149,0.175,0.225,0.247
2,3.572435678,1.534207853,1.703456867,205.4068467,-127.149759,0.05,15.89080946,-12.52518713,0.175,0.225,0.247
3,4.427221854,2.736121869,2.672642071,169.78591980000004,-175.4483049,0.05,43.78705013,-12.8933414,0.175,0.225,0.247
4,4.113759387,2.602987,2.301809411,171.53560159999995,-146.449977,0.05,42.44200414,-9.562852746,0.175,0.225,0.247
5,3.956205016,2.433719808,1.930018634,163.07171540000004,-125.7900908,0.05,40.13074167,2.854373492,0.175,0.225,0.247
6,3.675705402,2.04298488,1.7112037269999998,130.695884,-124.5352687,0.05,36.64110232,1.893925073,0.175,0.225,0.247
7,3.561442952,1.98834404,1.554667987,127.2869682,-114.3573108,0.05,35.13010595,9.285203198,0.175,0.225,0.247
8,4.662979879,2.405042249,3.069069749,176.2410962,-232.7281773,0.05,8.059577878999999,-38.98734713,0.175,0.225,0.247
9,4.217331342,2.011010783,2.54320101,156.6486021,-196.4075921,0.05,5.115746719,-26.62253621,0.175,0.225,0.247
10,3.969272892,1.809681823,2.370692531,135.5949685,-184.9546426,0.05,9.055296673,-12.30460244,0.175,0.225,0.247
11,3.928136487,1.774752545,2.247788146,137.9855214,-165.3984501,0.05,9.467463412,-14.97955584,0.175,0.225,0.247
12,5.062064723,2.6858012,2.9302079510000003,235.9630915,-181.2686664,0.05,65.90132751,11.8387942,0.175,0.225,0.247
13,4.606443339,2.44964511,2.246144012,209.8112931,-220.0495162,0.05,57.64254826,-12.9680377,0.175,0.225,0.247
14,4.303679912,2.115889049,1.976951967,181.4924917,-194.6587065,0.05,30.12766155,-7.642803914,0.175,0.225,0.247
15,3.989856208,1.879658364,1.743759464,162.6662221,-185.6473111,0.05,28.77170256,-6.878813922000001,0.175,0.225,0.247
16,3.826355936,1.763765382,1.639411261,150.99041599999995,-172.24523969999996,0.05,27.79045556,-0.239641472,0.175,0.225,0.247
17,4.645592357,3.022613775,2.396494654,193.5859192,-179.0479284,0.05,-3.21845468,-42.07559127,0.175,0.225,0.247
